Model,Standard_MCC,Standard_MCC_Std,Disjoint_MCC,Disjoint_MCC_Std,MCC_Drop,Standard_AUC,Standard_AUC_Std,Disjoint_AUC,Disjoint_AUC_Std,AUC_Drop
ExtraTrees,0.5945735038957116,0.028827050151809374,0.0,0.0,0.5945735038957116,0.8374644581101635,0.03239490516632522,0.5092410362324818,0.034028406195827025,0.3282234218776816
RandomForest,0.5136213368875833,0.027558843411985605,0.0,0.0,0.5136213368875833,0.8132777887985189,0.028959126289645924,0.4973441793751281,0.01653433515737084,0.31593360942339077
XGBoost,0.49909772205447345,0.03754728393842363,0.004866779960279588,0.04399362522496911,0.4942309420941939,0.7857072009521919,0.028902045383999375,0.5173305649096606,0.035711011626235425,0.26837663604253137
LightGBM,0.4883153079720386,0.03603527482205395,0.006216698721602092,0.012433397443204184,0.4820986092504365,0.7799047807974608,0.02795947317708989,0.4883767626524209,0.023740946851780267,0.2915280181450399
HistGB,0.4720558014406982,0.05466238235901762,-0.0017751907115826943,0.039668303334677836,0.4738309921522809,0.7737254512993454,0.039857462861898764,0.5015576778243145,0.04653232722237364,0.27216777347503096
SVC,0.35046550074539706,0.04019598146017297,-0.006951687788015834,0.03285523023757149,0.3574171885334129,0.7110064140712822,0.03164789911436665,0.4907663290433044,0.03237363819496185,0.22024008502797776
GradientBoosting,0.3278611651004405,0.03061539114248264,0.009920610523767883,0.02153033199558067,0.31794055457667264,0.7048403094624082,0.034620516769436185,0.5071776790251034,0.07413440797240499,0.1976626304373048
KNN,0.2897638247904191,0.03771123237508743,0.006490649465520235,0.030213710109096566,0.2832731753248989,0.675128942670105,0.025522807829416103,0.490095775074609,0.03545226210437107,0.18503316759549604
LogisticRegression,0.0378894147173471,0.050627344277842046,-0.0010321388665854297,0.06028229655406684,0.03892155358393253,0.5199927263109172,0.037550754622827254,0.48590121865759334,0.027314616839495275,0.03409150765332386
Dummy,-0.0045730804050798475,0.0,-0.02001126167970677,0.0,0.01543818127462692,0.4976525821596245,0.0,0.48998098897265396,0.0,0.007671593186970527
