protein_0	protein_0
protein_1	protein_1
protein_2	protein_2
protein_3	protein_3
protein_4	protein_4
protein_5	protein_5
protein_6	protein_6
protein_7	protein_7
protein_8	protein_8
protein_9	protein_9
protein_10	protein_10
protein_11	protein_11
protein_12	protein_12
protein_13	protein_13
protein_14	protein_14
protein_15	protein_15
protein_16	protein_16
protein_17	protein_17
protein_18	protein_18
protein_19	protein_19
protein_20	protein_20
protein_21	protein_21
protein_22	protein_22
protein_24	protein_24
protein_25	protein_25
protein_26	protein_26
protein_27	protein_27
protein_28	protein_28
protein_29	protein_29
protein_30	protein_30
protein_31	protein_31
protein_32	protein_32
protein_33	protein_33
protein_34	protein_34
protein_35	protein_35
protein_36	protein_36
protein_37	protein_37
protein_38	protein_38
protein_39	protein_39
protein_40	protein_40
protein_41	protein_41
protein_42	protein_42
protein_43	protein_43
protein_44	protein_44
protein_45	protein_45
protein_46	protein_46
protein_47	protein_47
protein_48	protein_48
protein_49	protein_49
protein_50	protein_50
protein_51	protein_51
protein_52	protein_52
protein_53	protein_53
protein_54	protein_54
protein_55	protein_55
protein_56	protein_56
protein_57	protein_57
protein_58	protein_58
protein_59	protein_59
protein_60	protein_60
protein_61	protein_61
protein_62	protein_62
protein_63	protein_63
protein_64	protein_64
protein_65	protein_65
protein_66	protein_66
protein_67	protein_67
protein_68	protein_68
protein_69	protein_69
protein_70	protein_70
protein_71	protein_71
protein_72	protein_72
protein_73	protein_73
protein_74	protein_74
protein_75	protein_75
protein_76	protein_76
protein_77	protein_77
protein_78	protein_78
protein_79	protein_79
protein_80	protein_80
protein_81	protein_81
protein_81	protein_82
protein_83	protein_83
protein_84	protein_84
protein_85	protein_85
protein_86	protein_86
protein_87	protein_87
protein_88	protein_88
protein_89	protein_89
protein_90	protein_90
protein_91	protein_91
protein_92	protein_92
protein_93	protein_93
protein_94	protein_94
protein_95	protein_95
protein_96	protein_96
protein_97	protein_97
protein_98	protein_98
protein_99	protein_99
protein_100	protein_100
protein_101	protein_101
protein_102	protein_102
protein_103	protein_103
protein_104	protein_104
protein_105	protein_105
protein_106	protein_106
protein_107	protein_107
protein_108	protein_108
protein_109	protein_109
protein_110	protein_110
protein_111	protein_111
protein_112	protein_112
protein_113	protein_113
protein_114	protein_114
protein_115	protein_115
protein_116	protein_116
protein_117	protein_117
protein_118	protein_118
protein_119	protein_119
protein_120	protein_120
protein_121	protein_121
protein_123	protein_123
protein_123	protein_23
protein_123	protein_122
protein_124	protein_124
protein_125	protein_125
protein_126	protein_126
protein_127	protein_127
protein_129	protein_129
protein_129	protein_128
protein_129	protein_141
protein_130	protein_130
protein_131	protein_131
protein_132	protein_132
protein_133	protein_133
protein_134	protein_134
protein_135	protein_135
protein_136	protein_136
protein_137	protein_137
protein_138	protein_138
protein_139	protein_139
protein_140	protein_140
protein_142	protein_142
protein_143	protein_143
